Clonal	Subclonal
NA	EIF2AK2
NA	EIF2AK3
NA	EIF2B1
NA	EIF2B2
NA	EIF2B3
NA	EIF2B4
NA	EIF2B5
NA	EIF2D
NA	EIF2S1
NA	EIF3C
NA	EIF3D
NA	EIF3G
NA	EIF3H
NA	EIF3J
NA	EIF3K
NA	EIF4A1
NA	EIF4A3
NA	EIF4E
NA	EIF4E3
NA	EIF4EBP1
NA	EIF4ENIF1
NA	EIF4H
NA	EIF5A2
NA	EIF5AL1
NA	EIF5B
NA	EIF6
NA	ELANE
NA	ELAVL1
NA	ELF1
NA	ELK3
NA	ELMO2
NA	ELMOD2
NA	ELMOD3
NA	ELOF1
NA	ELOVL1
NA	ELOVL2
NA	ELOVL5
NA	ELOVL6
NA	ELSPBP1
NA	EMD
NA	EME2
NA	EML4
NA	EMP2
NA	EMP3
NA	EMX1
NA	EMX2
NA	EN1
NA	ENDOU
NA	ENDOV
NA	ENHO
NA	ENO1
NA	ENO2
NA	ENOSF1
NA	ENPP2
NA	ENTPD4
NA	EOMES
NA	EPC1
NA	EPDR1
NA	EPGN
NA	EPHA5
NA	EPHX3
NA	EPHX4
NA	EPN2
NA	EPOR
NA	EPS15
NA	EPS15L1
NA	EPS8
NA	ERBB3
NA	ERC1
NA	ERCC1
NA	ERCC2
NA	ERCC3
NA	ERF
NA	ERH
NA	ERI1
NA	ERI2
NA	ERI3
NA	ERLEC1
NA	ERLIN2
NA	ERMN
NA	ERP27
NA	ERVW-1
NA	ESAM
NA	ESCO1
NA	ESCO2
NA	ESD
NA	ESYT1
NA	ESYT2
NA	ETAA1
NA	ETF1
NA	ETFA
NA	ETFB
NA	ETHE1
NA	ETNK2
NA	ETV2
NA	ETV3
NA	ETV4
NA	ETV7
NA	EVI2B
NA	EVI5
NA	EVL
NA	EVX1
NA	EXOC2
NA	EXOC7
NA	EXOG
NA	EXOSC1
NA	EXOSC2
NA	EXOSC5
NA	EXOSC8
NA	EXT1
NA	EXTL1
NA	EYA3
NA	F12
NA	F13A1
NA	F2R
NA	FA2H
NA	FABP3
NA	FABP4
NA	FABP5
NA	FADS2
NA	FADS3
NA	FAF1
NA	FAF2
NA	FAIM2
NA	FAM104A
NA	FAM104B
NA	FAM107A
NA	FAM107B
NA	FAM110A
NA	FAM114A1
NA	FAM118A
NA	FAM120A
NA	FAM122A
NA	FAM122B
NA	FAM124B
NA	FAM126B
NA	FAM131A
NA	FAM136A
NA	FAM13B
NA	FAM149A
NA	FAM151A
NA	FAM151B
NA	FAM153A
NA	FAM153B
NA	FAM153C
NA	FAM162B
NA	FAM163B
NA	FAM166B
NA	FAM167A
NA	FAM168A
NA	FAM168B
NA	FAM169B
NA	FAM172A
NA	FAM174B
NA	FAM183A
NA	FAM186B
NA	FAM187B
NA	FAM199X
NA	FAM19A3
NA	FAM19A4
NA	FAM200A
NA	FAM206A
NA	FAM207A
NA	FAM208A
NA	FAM20A
NA	FAM20B
NA	FAM20C
NA	FAM210B
NA	FAM216A
NA	FAM216B
NA	FAM217B
NA	FAM218A
NA	FAM222B
NA	FAM24A
NA	FAM24B
NA	FAM3B
NA	FAM3C
NA	FAM45A
NA	FAM49B
NA	FAM50B
NA	FAM53B
NA	FAM57A
NA	FAM57B
NA	FAM71C
NA	FAM71E1
NA	FAM71F1
NA	FAM71F2
NA	FAM72A
NA	FAM76A
NA	FAM76B
NA	FAM78B
NA	FAM81A
NA	FAM83C
NA	FAM84A
NA	FAM84B
NA	FAM86B1
NA	FAM89A
NA	FAM8A1
NA	FAM91A1
NA	FAM92B
NA	FAM98A
NA	FAM98C
NA	FAN1
NA	FANCC
NA	FANCE
NA	FANCF
NA	FANCG
NA	FANCL
NA	FANK1
NA	FAS
NA	FASTKD1
NA	FASTKD2
NA	FAXC
NA	FBLN7
NA	FBP1
NA	FBXL12
NA	FBXL14
NA	FBXL17
NA	FBXL2
NA	FBXL20
NA	FBXL22
NA	FBXL4
NA	FBXL6
NA	FBXL8
NA	FBXO2
NA	FBXO21
NA	FBXO25
NA	FBXO28
NA	FBXO3
NA	FBXO32
NA	FBXO33
NA	FBXO4
NA	FBXO47
NA	FBXO48
NA	FBXO5
NA	FBXO6
NA	FBXO8
NA	FBXO9
NA	FBXW11
NA	FBXW12
NA	FBXW5
NA	FCER2
NA	FCGR1B
NA	FCGR3A
NA	FCGRT
NA	FCHO1
NA	FCHSD1
NA	FCHSD2
NA	FCN3
NA	FCRL2
NA	FCRLB
NA	FDCSP
NA	FDFT1
NA	FDX1
NA	FDXACB1
NA	FEM1B
NA	FERMT3
NA	FES
NA	FEZ2
NA	FEZF2
NA	FFAR2
NA	FGD4
NA	FGF21
NA	FGF8
NA	FGFBP2
NA	FGFBP3
NA	FGFR1OP
NA	FGFR1OP2
NA	FH
NA	FHL2
NA	FIBP
NA	FIGLA
NA	FIGN
NA	FIGNL1
NA	FILIP1
NA	FIS1
NA	FITM2
NA	FKBP11
NA	FKBP14
NA	FKBP3
NA	FKBPL
NA	FKRP
NA	FKTN
NA	FLOT1
NA	FLT3LG
NA	FLVCR1
NA	FLYWCH2
NA	FMN1
NA	FNDC3B
NA	FNDC4
NA	FNDC9
NA	FNTA
NA	FOLH1
NA	FOSB
NA	FOXA3
NA	FOXB1
NA	FOXB2
NA	FOXD1
NA	FOXD4L3
NA	FOXD4L5
NA	FOXE1
NA	FOXE3
NA	FOXJ3
NA	FOXL2
NA	FOXP4
NA	FOXRED1
NA	FPGS
NA	FRG1
NA	FRMD6
NA	FRRS1L
NA	FRZB
NA	FSCN1
NA	FSTL3
NA	FTCD
NA	FTH1
NA	FTL
NA	FTO
NA	FTSJ3
NA	FUBP3
NA	FUNDC2
NA	FUT1
NA	FUT11
NA	FUT2
NA	FUT4
NA	FUT7
NA	FUZ
NA	FXN
NA	FXR1
NA	FXR2
NA	FXYD1
NA	FXYD3
NA	FXYD4
NA	FXYD5
NA	FXYD6-FXYD2
NA	FXYD7
NA	FYTTD1
NA	FZD3
NA	FZD5
NA	FZD6
NA	FZD7
NA	FZD8
NA	G2E3
NA	G3BP1
NA	G3BP2
NA	GAB1
NA	GABARAP
NA	GABPB1
NA	GABRG1
NA	GABRR2
NA	GADD45B
NA	GADD45G
NA	GAGE2B
NA	GAL3ST4
NA	GALE
NA	GALK1
NA	GALK2
NA	GALM
NA	GALNT11
NA	GALNT2
NA	GALR3
NA	GAMT
NA	GAN
NA	GAPDH
NA	GAPDHS
NA	GARNL3
NA	GARS
NA	GAS2L3
NA	GAS8
NA	GAST
NA	GATA4
NA	GATA5
NA	GATA6
NA	GATAD1
NA	GATAD2A
NA	GATAD2B
NA	GATC
NA	GATM
NA	GBP3
NA	GBP4
NA	GBX1
NA	GCDH
NA	GCFC2
NA	GCH1
NA	GCHFR
NA	GCLM
NA	GCM1
NA	GCM2
NA	GCNT3
NA	GDAP1L1
NA	GDF11
NA	GDF5OS
NA	GDF7
NA	GDPD1
NA	GDPD3
NA	GEMIN6
NA	GEMIN7
NA	GEN1
NA	GET4
NA	GFER
NA	GFI1
NA	GFOD2
NA	GFPT1
NA	GFPT2
NA	GFRA2
NA	GGA1
NA	GGA2
NA	GGCT
NA	GGCX
NA	GGH
NA	GGNBP2
NA	GGPS1
NA	GGT7
NA	GGTLC1
NA	GGTLC2
NA	GHITM
NA	GHRH
NA	GHRL
NA	GHSR
NA	GIMAP6
NA	GINS1
NA	GINS2
NA	GINS3
NA	GIP
NA	GIPC2
NA	GIPC3
NA	GIPR
NA	GJA3
NA	GJB2
NA	GJB3
NA	GJB6
NA	GJB7
NA	GJC2
NA	GJC3
NA	GJD4
NA	GKN1
NA	GLA
NA	GLB1
NA	GLB1L
NA	GLCE
NA	GLIPR1L1
NA	GLIS2
NA	GLOD4
NA	GLT8D1
NA	GLUL
NA	GLYR1
NA	GMCL1
NA	GMFG
NA	GMPPA
NA	GMPPB
NA	GMPR
NA	GMPR2
NA	GMPS
NA	GNA11
NA	GNA14
NA	GNA15
NA	GNAI1
NA	GNAI3
NA	GNAL
NA	GNAO1
NA	GNAT1
NA	GNB1
NA	GNB2
NA	GNB3
NA	GNB4
NA	GNB5
NA	GNG2
NA	GNG3
NA	GNG7
NA	GNG8
NA	GNGT1
NA	GNGT2
NA	GNL2
NA	GNL3
NA	GNLY
NA	GNMT
NA	GNPAT
NA	GNPDA2
NA	GNPTAB
NA	GNRH2
NA	GNRHR
NA	GNS
NA	GOLGA3
NA	GOLGA5
NA	GOLGA6C
NA	GOLGA6D
NA	GOLGA7
NA	GOLGA7B
NA	GOLGA8A
NA	GOLIM4
NA	GORASP1
NA	GOSR2
NA	GOT1
NA	GPA33
NA	GPANK1
NA	GPBAR1
NA	GPBP1L1
NA	GPC1
NA	GPC2
NA	GPCPD1
NA	GPD1
NA	GPD1L
NA	GPD2
NA	GPHA2
NA	GPI
NA	GPM6A
NA	GPN1
NA	GPN2
NA	GPN3
NA	GPNMB
NA	GPR1
NA	GPR107
NA	GPR108
NA	GPR132
NA	GPR135
NA	GPR146
NA	GPR15
NA	GPR151
NA	GPR157
NA	GPR17
NA	GPR173
NA	GPR183
NA	GPR21
NA	GPR22
NA	GPR25
NA	GPR34
NA	GPR35
NA	GPR37
NA	GPR4
NA	GPR52
NA	GPR55
NA	GPR6
NA	GPR62
NA	GPR85
NA	GPR87
NA	GPR89A
NA	GPRC5A
NA	GPRIN2
NA	GPS2
NA	GPSM2
NA	GPSM3
NA	GPT
NA	GPX1
NA	GPX3
NA	GRAMD1C
NA	GRAMD4
NA	GRAP
NA	GRAP2
NA	GRASP
NA	GREB1
NA	GRHL2
NA	GRHL3
NA	GRHPR
NA	GRINA
NA	GRK4
NA	GRP
NA	GRPEL1
NA	GSC
NA	GSDMD
NA	GSG1
NA	GSG1L
NA	GSPT1
NA	GSS
NA	GSTA3
NA	GSTA5
NA	GSTK1
NA	GSTM3
NA	GSTM5
NA	GSTO1
NA	GSTO2
NA	GSTP1
NA	GSTT2
NA	GSTZ1
NA	GSX2
NA	GTF2A1
NA	GTF2A2
NA	GTF2B
NA	GTF2E1
NA	GTF2F1
NA	GTF2F2
NA	GTF2H3
NA	GTF2H4
NA	GTF2IRD2B
NA	GTF3C4
NA	GTF3C5
NA	GTF3C6
NA	GTPBP10
NA	GTPBP2
NA	GTPBP3
NA	GTPBP6
NA	GTPBP8
NA	GTSF1L
NA	GUCA1A
NA	GUCA1B
NA	GUCA2B
NA	GUK1
NA	GULP1
NA	GXYLT1
NA	GYG1
NA	GYPC
NA	GYS2
NA	H1F0
NA	H2AFJ
NA	H2AFX
NA	H2AFY
NA	H3F3B
NA	HACL1
NA	HADHA
NA	HAGH
NA	HAMP
NA	HAND1
NA	HAO1
NA	HAPLN2
NA	HARS
NA	HAT1
NA	HAUS1
NA	HAUS3
NA	HAUS5
NA	HAUS8
NA	HAVCR2
NA	HBA1
NA	HBD
NA	HBEGF
NA	HBM
NA	HBP1
NA	HBZ
NA	HCG27
NA	HCN2
NA	HCST
NA	HDAC2
NA	HDAC7
NA	HDGF
NA	HDGFRP2
NA	HDGFRP3
NA	HDHD2
NA	HDHD3
NA	HDLBP
NA	HEBP1
NA	HECA
NA	HECTD2
NA	HELLS
NA	HELQ
NA	HELZ
NA	HEMK1
NA	HERPUD1
NA	HES1
NA	HES2
NA	HEXA
NA	HEXB
NA	HEXIM1
NA	HEY1
NA	HEY2
NA	HGS
NA	HHLA3
NA	HIBADH
NA	HIBCH
NA	HIC1
NA	HIF1AN
NA	HIGD1C
NA	HILPDA
NA	HIRIP3
NA	HIST1H1C
NA	HIST1H1D
NA	HIST1H1E
NA	HIST1H1T
NA	HIST1H2AB
NA	HIST1H2AG
NA	HIST1H2AK
NA	HIST1H2BA
NA	HIST1H2BB
NA	HIST1H2BC
NA	HIST1H2BG
NA	HIST1H2BH
NA	HIST1H2BI
NA	HIST1H2BJ
NA	HIST1H2BK
NA	HIST1H2BM
NA	HIST1H2BN
NA	HIST1H2BO
NA	HIST1H3A
NA	HIST1H3F
NA	HIST1H3I
NA	HIST1H3J
NA	HIST1H4B
NA	HIST1H4C
NA	HIST1H4D
NA	HIST1H4F
NA	HIST1H4H
NA	HIST1H4I
NA	HIST1H4J
NA	HIST1H4K
NA	HIST2H2BE
NA	HIST2H2BF
NA	HIST3H3
NA	HIST4H4
NA	HK1
NA	HLA-C
NA	HLA-DQA2
NA	HLCS
NA	HLTF
NA	HMGA2
NA	HMGB1
NA	HMGB2
NA	HMGB3
NA	HMGCS1
NA	HMGN1
NA	HMGN4
NA	HMOX1
NA	HMX2
NA	HNMT
NA	HNRNPA0
NA	HNRNPA1
NA	HNRNPA3
NA	HNRNPC
NA	HNRNPD
NA	HNRNPH1
NA	HNRNPH2
NA	HNRNPH3
NA	HNRNPK
NA	HNRNPU
NA	HNRNPUL2
NA	HOMER1
NA	HOMEZ
NA	HOOK2
NA	HOOK3
NA	HOXA13
NA	HOXA2
NA	HOXA7
NA	HOXB2
NA	HOXB6
NA	HOXB7
NA	HOXB9
NA	HOXC11
NA	HOXC13
NA	HOXC6
NA	HOXC8
NA	HOXD10
NA	HOXD3
NA	HOXD8
NA	HPCAL1
NA	HPDL
NA	HPGD
NA	HPGDS
NA	HPN
NA	HPS3
NA	HPSE2
NA	HRASLS2
NA	HRCT1
NA	HRH2
NA	HSCB
NA	HSD11B2
NA	HSD17B1
NA	HSD17B10
NA	HSD17B11
NA	HSD17B12
NA	HSD17B4
NA	HSD17B8
NA	HSD3B7
NA	HSDL1
NA	HSDL2
NA	HSH2D
NA	HSP90AB1
NA	HSPA12A
NA	HSPA13
NA	HSPA14
NA	HSPA8
NA	HSPA9
NA	HSPB9
NA	HSPBAP1
NA	HSPBP1
NA	HSPD1
NA	HSPE1-MOB4
NA	HSPG2
NA	HSPH1
NA	HTATIP2
NA	HTR2B
NA	HTR3D
NA	HTR6
NA	HTRA1
NA	HTRA2
NA	HTRA4
NA	HYAL2
NA	HYAL3
NA	HYI
NA	HYOU1
NA	IAPP
NA	ICAM1
NA	ICAM3
NA	ICMT
NA	ICOS
NA	ICOSLG
NA	ID1
NA	ID2
NA	IDH3B
NA	IDI1
NA	IDUA
NA	IER5
NA	IFI16
NA	IFI27
NA	IFI27L2
NA	IFI30
NA	IFI35
NA	IFI44
NA	IFIT1B
NA	IFIT2
NA	IFIT3
NA	IFIT5
NA	IFITM1
NA	IFITM2
NA	IFITM3
NA	IFITM5
NA	IFNA1
NA	IFNA10
NA	IFNA2
NA	IFNA4
NA	IFNAR1
NA	IFNAR2
NA	IFNE
NA	IFNGR2
NA	IFNK
NA	IFRD1
NA	IFT27
NA	IFT43
NA	IFT46
NA	IFT57
NA	IFT80
NA	IFT81
NA	IGF1
NA	IGF2
NA	IGF2BP1
NA	IGF2BP2
NA	IGFBP2
NA	IGFBP3
NA	IGFL1
NA	IGFL3
NA	IGFL4
NA	IGIP
NA	IGLON5
NA	IGSF11
NA	IGSF3
NA	IGSF6
NA	IKZF4
NA	IKZF5
NA	IL10
NA	IL12A
NA	IL12B
NA	IL15
NA	IL17A
NA	IL17C
NA	IL17D
NA	IL17F
NA	IL17RA
NA	IL17RB
NA	IL17RC
NA	IL17RE
NA	IL18
NA	IL18BP
NA	IL1R2
NA	IL1RAP
NA	IL2
NA	IL20RB
NA	IL22
NA	IL22RA2
NA	IL24
NA	IL25
NA	IL26
NA	IL27
NA	IL27RA
NA	IL36G
NA	IL3RA
NA	IL6
NA	IL7
NA	ILF2
NA	ILKAP
NA	ILVBL
NA	IMMT
NA	IMP3
NA	IMP4
NA	IMPA1
NA	IMPACT
NA	IMPAD1
NA	IMPDH1
NA	ING2
NA	ING3
NA	ING4
NA	ING5
NA	INPP1
NA	INPP4A
NA	INPP5B
NA	INPP5E
NA	INPP5K
NA	INSC
NA	INSIG1
NA	INSIG2
NA	INSL3
NA	INSM1
NA	INSM2
NA	INTS10
NA	INTS6
NA	INTS7
NA	INTU
NA	IP6K1
NA	IP6K2
NA	IPMK
NA	IPO7
NA	IPP
NA	IPPK
NA	IQCD
NA	IQCF1
NA	IQCF2
NA	IQCF3
NA	IQCK
NA	IRAK4
NA	IREB2
NA	IRF2BP1
NA	IRF2BP2
NA	IRF3
NA	IRF5
NA	IRF9
NA	IRX1
NA	IRX2
NA	IRX3
NA	ISCA2
NA	ISG15
NA	ISG20
NA	ISL1
NA	ISL2
NA	ISLR2
NA	ISOC1
NA	ISPD
NA	ISYNA1
NA	ITCH
NA	ITGA6
NA	ITGAD
NA	ITGB1BP1
NA	ITGB1BP2
NA	ITGB3BP
NA	ITM2C
NA	ITPA
NA	ITPK1
NA	ITPKA
NA	ITPKC
NA	ITPRIPL1
NA	ITPRIPL2
NA	ITSN1
NA	IWS1
NA	IZUMO1
NA	IZUMO2
NA	IZUMO4
NA	JKAMP
NA	JMJD6
NA	JRKL
NA	KAAG1
NA	KANK3
NA	KANSL1L
NA	KANSL2
NA	KAT2B
NA	KATNA1
NA	KATNB1
NA	KAZALD1
NA	KBTBD11
NA	KBTBD4
NA	KBTBD6
NA	KCMF1
NA	KCNA3
NA	KCNA7
NA	KCNC3
NA	KCNC4
NA	KCNE1
NA	KCNE2
NA	KCNE3
NA	KCNE4
NA	KCNG2
NA	KCNIP1
NA	KCNIP2
NA	KCNIP3
NA	KCNIP4
NA	KCNJ10
NA	KCNJ11
NA	KCNJ13
NA	KCNJ8
NA	KCNK16
NA	KCNK3
NA	KCNK6
NA	KCNMB3
NA	KCNMB4
NA	KCNS1
NA	KCTD1
NA	KCTD12
NA	KCTD15
NA	KCTD2
NA	KCTD21
NA	KCTD4
NA	KCTD6
NA	KCTD9
NA	KDELC1
NA	KDELR1
NA	KDELR3
NA	KDM1A
NA	KDM1B
NA	KDM2A
NA	KDM4E
NA	KDSR
NA	KEAP1
NA	KHDRBS1
NA	KHDRBS2
NA	KHK
NA	KHSRP
NA	KIAA0232
NA	KIAA0391
NA	KIAA0825
NA	KIAA0895
NA	KIAA1147
NA	KIAA1841
NA	KIF11
NA	KIF20A
NA	KIF21A
NA	KIF3A
NA	KIF3B
NA	KIF5B
NA	KIF7
NA	KIF9
NA	KIFC2
NA	KIFC3
NA	KLC1
NA	KLC2
NA	KLC3
NA	KLC4
NA	KLF1
NA	KLF10
NA	KLF13
NA	KLF14
NA	KLF7
NA	KLF9
NA	KLHDC2
NA	KLHDC7B
NA	KLHDC8A
NA	KLHDC8B
NA	KLHDC9
NA	KLHL10
NA	KLHL11
NA	KLHL12
NA	KLHL2
NA	KLHL21
NA	KLHL23
NA	KLHL28
NA	KLHL30
NA	KLHL34
NA	KLHL35
NA	KLHL38
NA	KLHL7
NA	KLHL8
NA	KLK1
NA	KLK10
NA	KLK11
NA	KLK13
NA	KLK14
NA	KLK2
NA	KLK6
NA	KLRB1
NA	KLRC1
NA	KLRC4
NA	KLRD1
NA	KLRG1
NA	KLRG2
NA	KPNA1
NA	KPNA3
NA	KPNA5
NA	KPNA6
NA	KPNB1
NA	KPTN
NA	KRBOX1
NA	KRCC1
NA	KRI1
NA	KRIT1
NA	KRR1
NA	KRT27
NA	KRT34
NA	KRT36
NA	KRT6A
NA	KRT6C
NA	KRT72
NA	KRT8
NA	KRT80
NA	KRT85
NA	KRT86
NA	KRTAP1-3
NA	KRTAP10-11
NA	KRTAP10-2
NA	KRTAP10-4
NA	KRTAP10-8
NA	KRTAP10-9
NA	KRTAP12-1
NA	KRTAP12-2
NA	KRTAP12-4
NA	KRTAP13-2
NA	KRTAP13-3
NA	KRTAP13-4
NA	KRTAP15-1
NA	KRTAP19-1
NA	KRTAP19-2
NA	KRTAP19-3
NA	KRTAP19-5
NA	KRTAP19-6
NA	KRTAP19-8
NA	KRTAP21-2
NA	KRTAP22-1
NA	KRTAP23-1
NA	KRTAP24-1
NA	KRTAP3-2
NA	KRTAP4-1
NA	KRTAP4-11
NA	KRTAP4-7
NA	KRTAP5-11
NA	KRTAP5-2
NA	KRTAP5-3
NA	KRTAP5-6
NA	KRTAP5-7
NA	KRTAP6-1
NA	KRTAP6-2
NA	KRTAP8-1
NA	KRTAP9-2
NA	KRTAP9-8
NA	KRTCAP3
NA	KRTDAP
NA	KSR1
NA	KY
NA	L2HGDH
NA	L3MBTL2
NA	LACRT
NA	LACTB
NA	LACTB2
NA	LAMTOR2
NA	LANCL2
NA	LAP3
NA	LAPTM4A
NA	LARP6
NA	LASP1
NA	LAX1
NA	LBH
NA	LBP
NA	LBR
NA	LBX2
NA	LCA5L
NA	LCE1C
NA	LCE1E
NA	LCE2B
NA	LCE2C
NA	LCE2D
NA	LCE3D
NA	LCE4A
NA	LCLAT1
NA	LCMT2
NA	LCN10
NA	LCN6
NA	LCN8
NA	LCORL
NA	LDB1
NA	LDHA
NA	LDHAL6A
NA	LDHAL6B
NA	LDHB
NA	LDLRAD2
NA	LDLRAP1
NA	LECT2
NA	LEF1
NA	LEMD1
NA	LEMD2
NA	LENEP
NA	LENG8
NA	LENG9
NA	LEO1
NA	LETM1
NA	LETM2
NA	LETMD1
NA	LFNG
NA	LGALS16
NA	LGALS3BP
NA	LGALS8
NA	LGALSL
NA	LGI4
NA	LGMN
NA	LGR4
NA	LHFPL2
NA	LHFPL3
NA	LHX3
NA	LHX8
NA	LHX9
NA	LIAS
NA	LIF
NA	LIM2
NA	LIMS1
NA	LIMS2
NA	LIN28A
NA	LIN52
NA	LIN54
NA	LIN7B
NA	LIN9
NA	LIPG
NA	LIPH
NA	LIX1L
NA	LLPH
NA	LMBR1L
NA	LMCD1
NA	LMLN
NA	LMNB1
NA	LMNB2
NA	LMO2
NA	LMO3
NA	LMO4
NA	LMO7
NA	LMOD3
NA	LMX1B
NA	LOX
NA	LOXL1
NA	LOXL3
NA	LPAR2
NA	LPAR5
NA	LPAR6
NA	LPCAT1
NA	LPCAT2
NA	LPCAT4
NA	LPGAT1
NA	LPP
NA	LPPR3
NA	LPXN
NA	LRCH1
NA	LRCH3
NA	LRFN4
NA	LRP11
NA	LRP12
NA	LRPAP1
NA	LRPPRC
NA	LRR1
NA	LRRC14
NA	LRRC19
NA	LRRC2
NA	LRRC28
NA	LRRC36
NA	LRRC37A2
NA	LRRC39
NA	LRRC40
NA	LRRC41
NA	LRRC47
NA	LRRC49
NA	LRRC57
NA	LRRC58
NA	LRRC59
NA	LRRC71
NA	LRRC73
NA	LRRC8B
NA	LRRCC1
NA	LRRFIP2
NA	LRRN4
NA	LRRTM1
NA	LRRTM2
NA	LRWD1
NA	LSG1
NA	LSM3
NA	LSM6
NA	LSM7
NA	LSP1
NA	LSS
NA	LTB4R
NA	LTBR
NA	LUC7L
NA	LUC7L3
NA	LURAP1
NA	LURAP1L
NA	LY6D
NA	LY6E
NA	LY6G5B
NA	LY6G6C
NA	LY6H
NA	LYAR
NA	LYG1
NA	LYL1
NA	LYPD2
NA	LYPD3
NA	LYPD4
NA	LYPD5
NA	LYPD6
NA	LYPD6B
NA	LYPLA1
NA	LYRM1
NA	LYRM4
NA	LYSMD1
NA	LYSMD2
NA	LYSMD4
NA	LYZ
NA	LYZL2
NA	LYZL4
NA	LZIC
NA	M6PR
NA	MACROD2
NA	MAD2L1
NA	MAD2L1BP
NA	MAD2L2
NA	MADCAM1
NA	MAEA
NA	MAFG
NA	MAFK
NA	MAGOH
NA	MAGOHB
NA	MAK16
NA	MAL
NA	MALL
NA	MALSU1
NA	MAML1
NA	MAML3
NA	MAMSTR
NA	MAN1C1
NA	MAN2C1
NA	MANEAL
NA	MANF
NA	MANSC1
NA	MAP1LC3A
NA	MAP1LC3B2
NA	MAP1LC3C
NA	MAP2K2
NA	MAP2K3
NA	MAP2K4
NA	MAP2K5
NA	MAP2K6
NA	MAP3K13
NA	MAP3K3
NA	MAP3K7
NA	MAP3K8
NA	MAP4K5
NA	MAP9
NA	MAPK1
NA	MAPK11
NA	MAPK12
NA	MAPK14
NA	MAPK1IP1L
NA	MAPK3
NA	MAPK4
NA	MAPK6
NA	MAPK8
NA	MAPK8IP1
NA	MAPK8IP3
NA	MAPK9
NA	MAPKAPK5
NA	MAPRE2
NA	MAPRE3
NA	MARC1
NA	MARC2
NA	MARCH3
NA	MARCH5
NA	MARCH8
NA	MARCH9
NA	MARCKS
NA	MARCKSL1
NA	MARS
NA	MARS2
NA	MATN2
NA	MAU2
NA	MAVS
NA	MB
NA	MB21D2
NA	MBD1
NA	MBD3
NA	MBD4
NA	MBD6
NA	MBIP
NA	MBLAC2
NA	MBNL3
NA	MBOAT1
NA	MBOAT2
NA	MBP
NA	MC4R
NA	MCCC1
NA	MCCC2
NA	MCCD1
NA	MCEE
NA	MCHR1
NA	MCM7
NA	MCMBP
NA	MCOLN3
NA	MCRS1
NA	MCTS1
NA	MDFIC
NA	MDH2
NA	MDM4
NA	ME3
NA	MEA1
NA	MEAF6
NA	MED15
NA	MED20
NA	MED25
NA	MED27
NA	MED29
NA	MED4
NA	MED6
NA	MED7
NA	MED9
NA	MEF2A
NA	MEF2B
NA	MEF2D
NA	MEIG1
NA	MEMO1
NA	MEOX1
NA	MEOX2
NA	MESP1
NA	METAP1
NA	METTL1
NA	METTL14
NA	METTL15
NA	METTL21A
NA	METTL21C
NA	METTL2A
NA	METTL2B
NA	METTL3
NA	METTL5
NA	METTL7A
NA	METTL8
NA	MFAP1
NA	MFAP2
NA	MFAP3
NA	MFAP3L
NA	MFAP4
NA	MFAP5
NA	MFF
NA	MFN2
NA	MFNG
NA	MFSD1
NA	MFSD11
NA	MFSD8
NA	MFSD9
NA	MGARP
NA	MGAT1
NA	MGAT2
NA	MGAT4A
NA	MGAT4C
NA	MGAT5
NA	MGLL
NA	MGST1
NA	MGST3
NA	MIA
NA	MIB1
NA	MID1IP1
NA	MIER1
NA	MINOS1
NA	MIOX
NA	MIPOL1
NA	MIS18BP1
NA	MITD1
NA	MITF
NA	MIXL1
NA	MKLN1
NA	MKNK1
NA	MKNK2
NA	MKRN1
NA	MKRN3
NA	MLANA
NA	MLEC
NA	MLF1
NA	MLF2
NA	MLLT10
NA	MLLT3
NA	MLN
NA	MLST8
NA	MLX
NA	MLYCD
NA	MMD
NA	MMD2
NA	MMP16
NA	MMP21
NA	MMP23B
NA	MMP24
NA	MMP28
NA	MMP7
NA	MMP8
NA	MMP9
NA	MMS19
NA	MMS22L
NA	MNAT1
NA	MND1
NA	MNS1
NA	MNX1
NA	MOAP1
NA	MOB1A
NA	MOB3B
NA	MOB3C
NA	MOBP
NA	MOCOS
NA	MOGS
NA	MOK
NA	MON1A
NA	MON2
NA	MORC3
NA	MORF4L1
NA	MORF4L2
NA	MORN3
NA	MORN4
NA	MOSPD1
NA	MPG
NA	MPHOSPH10
NA	MPHOSPH9
NA	MPLKIP
NA	MPND
NA	MPP2
NA	MPP5
NA	MPPE1
NA	MPRIP
NA	MPV17
NA	MPV17L
NA	MPZL2
NA	MPZL3
NA	MRAP
NA	MRAS
NA	MREG
NA	MRGPRX3
NA	MRI1
NA	MRM1
NA	MRPL1
NA	MRPL14
NA	MRPL15
NA	MRPL16
NA	MRPL19
NA	MRPL2
NA	MRPL20
NA	MRPL27
NA	MRPL28
NA	MRPL3
NA	MRPL30
NA	MRPL32
NA	MRPL35
NA	MRPL39
NA	MRPL4
NA	MRPL40
NA	MRPL41
NA	MRPL43
NA	MRPL44
NA	MRPL46
NA	MRPL47
NA	MRPL49
NA	MRPL51
NA	MRPL52
NA	MRPL53
NA	MRPL54
NA	MRPL55
NA	MRPS11
NA	MRPS14
NA	MRPS15
NA	MRPS18A
NA	MRPS18C
NA	MRPS2
NA	MRPS22
NA	MRPS23
NA	MRPS25
NA	MRPS26
NA	MRPS28
NA	MRPS30
NA	MRPS31
NA	MRPS33
NA	MRPS34
NA	MRPS35
NA	MRPS7
NA	MRPS9
NA	MRRF
NA	MRS2
NA	MS4A13
